iter	RMSE
0	0.8686958568
1	0.8482934275
2	0.8258019756
3	0.805692284
4	0.7851522352
5	0.7666369053
6	0.7472099265
7	0.7300417212
8	0.7132111836
9	0.6960500138
10	0.6796033782
11	0.664708339
12	0.6507798664
13	0.6380279549
14	0.6247355554
15	0.6132776286
16	0.6007739878
17	0.5893376336
18	0.5788669095
19	0.5680795476
20	0.5580891614
21	0.5489525232
22	0.5403606176
23	0.5316087041
24	0.5230677646
25	0.5145036353
26	0.5068979571
27	0.5004140292
28	0.4935227128
29	0.4862123928
30	0.4797803834
31	0.4731974254
32	0.4672350467
33	0.4619802516
34	0.4565874945
35	0.451911377
36	0.4472856494
37	0.4431439449
38	0.4387386011
39	0.4347798892
40	0.4311814777
41	0.4274210981
42	0.4237668504
43	0.4202191711
44	0.4167726384
45	0.4137070616
46	0.4102532587
47	0.4075143831
48	0.4046635522
49	0.4021746155
50	0.4001774219
51	0.3980592244
52	0.3960288748
53	0.3936937458
54	0.391870386
55	0.3896067118
56	0.387909731
57	0.3860154288
58	0.3841156671
59	0.382349749
60	0.3805730037
61	0.3789681563
62	0.3775868868
63	0.3762362118
64	0.3749209335
65	0.3738106617
66	0.3725571432
67	0.3715200679
68	0.3704229248
69	0.3694465186
70	0.3684191355
71	0.3676626556
72	0.3667900608
73	0.3657476186
74	0.3648289601
75	0.3640709331
76	0.3635107704
77	0.3626983934
78	0.3620087232
79	0.3611653764
80	0.360511825
81	0.3599054502
82	0.3593049291
83	0.3588154271
84	0.3581595388
85	0.3573973936
86	0.356900376
87	0.3564244862
88	0.3559893144
89	0.3555565638
90	0.3550069494
91	0.3544441457
92	0.3539922966
93	0.3536422507
94	0.3530620706
95	0.3525865874
96	0.3520905802
97	0.3516723102
98	0.3512914974
99	0.3510697372
100	0.3507943145
101	0.3502863086
102	0.349546376
103	0.3491627238
104	0.3487698334
105	0.3482171665
106	0.3478134683
107	0.3473957403
108	0.3468479018
109	0.3463321515
110	0.3460963219
111	0.3456392192
112	0.3453457067
113	0.3449061597
114	0.3446446104
115	0.344185002
116	0.3439567819
117	0.3436378042
118	0.3431118165
119	0.3427416479
120	0.3423856766
121	0.3420228175
122	0.3418019456
123	0.3414206823
124	0.3409952822
125	0.3408943003
126	0.3402125067
127	0.3398996412
128	0.3394730268
129	0.3391243432
130	0.3387351398
131	0.3383883296
132	0.337986441
133	0.3375552808
134	0.3372964368
135	0.3371294681
136	0.336896659
137	0.336468986
138	0.3363298718
139	0.3359711147
140	0.3356911978
141	0.3355694961
142	0.3353705464
143	0.3350399705
144	0.3349775771
145	0.3346758319
146	0.3342986679
147	0.3340930969
148	0.3339110898
149	0.3336112506
150	0.3333867503
151	0.333198265
152	0.3328383485
153	0.332668246
154	0.3325067706
155	0.3322434184
156	0.3318697711
157	0.3316776454
158	0.3313817011
159	0.3311947027
160	0.3308836448
161	0.3306273808
162	0.3303635132
163	0.3302626794
164	0.3299858629
165	0.3295416145
166	0.3293171219
167	0.3290755543
168	0.3286479881
169	0.3284455315
170	0.3282334673
171	0.3280192973
172	0.3277811295
173	0.3274977699
174	0.3273537901
175	0.3271100774
176	0.3269597844
177	0.3265847175
178	0.3263366406
179	0.3260776032
180	0.3258192744
181	0.3254299248
182	0.3251791827
183	0.3248665966
184	0.3245263166
185	0.3242574044
186	0.3238477989
187	0.3233783712
188	0.3230896447
189	0.3229521988
190	0.3224912321
191	0.3221478276
192	0.3216208555
193	0.3214169458
194	0.321087625
195	0.3208347911
196	0.3206140317
197	0.3204162438
198	0.320158725
199	0.3198986519
200	0.3196661036
201	0.3194695811
202	0.3193621664
203	0.3190536605
204	0.3188586053
205	0.318502408
206	0.3181465198
207	0.3179414241
208	0.3177328284
209	0.3173059177
210	0.3170779045
211	0.3166324122
212	0.3164889612
213	0.3162849479
214	0.3159620522
215	0.315609818
216	0.3154182497
217	0.3151056016
218	0.3146855708
219	0.3144054001
220	0.3140218096
221	0.3137278896
222	0.3133750615
223	0.3132503223
224	0.3129790703
225	0.3128035559
226	0.3127058404
227	0.3125972504
228	0.3123684447
229	0.312182242
230	0.3118593517
231	0.311676609
232	0.3115717373
233	0.3111929546
234	0.3110030148
235	0.3109208926
236	0.3107618692
237	0.3105272147
238	0.3102894997
239	0.3101452344
240	0.3100013932
241	0.3098269033
242	0.3095974961
243	0.3093727734
244	0.3090571992
245	0.3088109585
246	0.3086502672
247	0.3083520415
248	0.3082142788
249	0.3079537975
250	0.3078799499
251	0.3075467907
252	0.3073301121
253	0.3071777731
254	0.3070155881
255	0.3068304139
256	0.3067791764
257	0.306478607
258	0.3062977817
259	0.3060836523
260	0.305881238
261	0.3056006312
262	0.3054526029
263	0.3053060813
264	0.3050808634
265	0.3047843055
266	0.3044140061
267	0.3041644883
268	0.3040808315
269	0.3039329867
270	0.3037829768
271	0.3036030812
272	0.3035398826
273	0.3032665085
