iter	Passed	Remaining
0	1	1069
1	2	1227
2	3	1193
3	11	2811
4	12	2516
5	14	2348
6	15	2219
7	16	2006
8	18	2007
9	19	1933
10	24	2162
11	25	2070
12	27	2102
13	28	2025
14	31	2038
15	31	1939
16	32	1893
17	34	1857
18	35	1813
19	36	1770
20	37	1733
21	38	1727
22	40	1714
23	41	1694
24	42	1669
25	44	1652
26	45	1639
27	46	1597
28	47	1599
29	48	1581
30	50	1586
31	51	1571
32	53	1569
33	57	1626
34	58	1616
35	59	1605
36	61	1594
37	62	1574
38	63	1572
39	65	1580
40	67	1573
41	68	1571
42	71	1581
43	75	1631
44	76	1630
45	80	1663
46	81	1653
47	82	1644
48	84	1637
49	85	1631
50	87	1629
51	88	1620
52	94	1682
53	95	1676
54	97	1671
55	98	1663
56	99	1651
57	111	1804
58	112	1794
59	113	1784
60	119	1839
61	120	1828
62	122	1818
63	123	1806
64	128	1847
65	129	1838
66	131	1827
67	132	1816
68	133	1804
69	135	1805
70	137	1797
71	138	1788
72	139	1775
73	141	1771
74	143	1774
75	145	1766
76	146	1753
77	147	1746
78	149	1738
79	150	1731
80	157	1791
81	159	1786
82	161	1778
83	162	1773
84	167	1800
85	168	1793
86	170	1785
87	171	1777
88	176	1809
89	178	1800
90	180	1798
91	181	1789
92	182	1779
93	184	1782
94	186	1780
95	188	1773
96	189	1767
97	191	1765
98	199	1815
99	204	1838
100	205	1829
101	207	1824
102	213	1862
103	215	1853
104	216	1846
105	218	1840
106	221	1852
107	223	1846
108	225	1839
109	226	1833
110	228	1828
111	230	1823
112	231	1815
113	232	1808
114	237	1829
115	239	1824
116	240	1818
117	245	1832
118	246	1825
119	247	1818
120	255	1857
121	257	1853
122	258	1844
123	260	1839
124	266	1868
125	268	1860
126	269	1853
127	271	1846
128	273	1849
129	275	1841
130	276	1834
131	277	1826
132	279	1819
133	286	1848
134	287	1843
135	306	1950
136	308	1943
137	309	1936
138	311	1928
139	312	1920
140	313	1912
141	315	1905
142	317	1899
143	318	1892
144	319	1881
145	322	1888
146	324	1881
147	325	1874
148	327	1869
149	329	1867
150	331	1861
151	333	1858
152	334	1851
153	336	1846
154	337	1842
155	339	1835
156	340	1830
157	342	1824
158	344	1821
159	354	1859
160	355	1851
161	356	1843
162	357	1836
163	358	1829
164	364	1844
165	366	1840
166	368	1835
167	369	1830
168	375	1844
169	376	1839
170	378	1832
171	379	1828
172	394	1886
173	398	1893
174	401	1891
175	403	1890
176	405	1884
177	406	1879
178	415	1904
179	417	1900
180	418	1895
181	424	1909
182	428	1911
183	430	1907
184	431	1901
185	433	1895
186	484	2106
187	487	2106
188	493	2117
189	495	2110
190	496	2104
191	498	2097
192	516	2159
193	519	2156
194	522	2155
195	524	2152
196	526	2146
197	528	2139
198	529	2131
199	536	2146
200	537	2138
201	539	2129
202	540	2122
203	542	2115
204	548	2127
205	550	2119
206	551	2113
207	553	2109
208	556	2104
209	558	2102
210	560	2094
211	562	2089
212	578	2136
213	580	2132
214	583	2132
215	585	2126
216	587	2120
217	596	2139
218	598	2132
219	599	2125
220	601	2118
221	602	2111
222	604	2107
223	606	2100
224	607	2093
225	610	2089
226	611	2081
227	612	2074
228	621	2092
229	623	2087
230	626	2084
231	627	2077
232	628	2069
233	630	2062
234	631	2055
235	633	2051
236	635	2045
237	636	2038
238	638	2032
239	642	2033
240	643	2026
241	644	2019
242	645	2011
243	647	2006
244	652	2009
245	653	2002
246	654	1995
247	656	1990
248	657	1983
249	659	1979
250	661	1973
251	662	1967
252	664	1960
253	665	1953
254	666	1947
255	667	1941
256	674	1949
257	675	1943
258	678	1940
259	679	1934
260	680	1928
261	682	1921
262	688	1930
263	690	1925
264	691	1919
265	693	1913
266	694	1906
267	703	1921
268	704	1915
269	705	1908
270	707	1902
271	708	1896
272	709	1890
273	711	1884
274	712	1879
275	719	1886
276	720	1881
277	722	1875
278	723	1869
279	727	1871
280	729	1865
281	730	1860
282	732	1855
283	734	1850
284	741	1859
285	742	1853
286	743	1847
287	745	1842
288	748	1842
289	750	1836
290	751	1831
291	752	1825
292	754	1819
293	759	1823
294	762	1821
295	763	1815
296	765	1812
297	768	1809
298	769	1803
299	771	1799
300	774	1797
301	777	1797
302	779	1792
303	781	1788
304	782	1783
305	785	1780
306	786	1775
307	788	1770
308	795	1779
309	800	1780
310	801	1775
311	812	1791
312	813	1785
313	815	1780
314	816	1775
315	817	1770
316	820	1767
317	821	1762
318	823	1757
319	824	1752
320	827	1750
321	831	1751
322	833	1746
323	836	1746
324	838	1740
325	845	1747
326	847	1743
327	849	1739
328	850	1734
329	857	1740
330	858	1735
331	859	1730
332	861	1724
333	862	1719
334	869	1725
335	870	1721
336	872	1715
337	873	1711
338	875	1706
339	877	1702
340	878	1697
341	879	1692
342	880	1687
343	881	1681
344	885	1680
345	886	1676
346	888	1671
347	889	1666
348	891	1662
349	892	1658
350	893	1652
351	895	1648
352	897	1644
353	902	1646
354	921	1675
355	923	1670
356	930	1675
357	932	1672
358	942	1683
359	943	1678
360	945	1673
361	947	1670
362	949	1666
363	951	1662
364	953	1658
365	967	1676
366	969	1671
367	981	1685
368	986	1686
369	990	1686
370	993	1684
371	1001	1691
372	1020	1715
373	1024	1715
374	1027	1711
375	1028	1706
376	1030	1702
377	1031	1697
378	1058	1734
379	1062	1733
380	1064	1729
381	1065	1724
382	1066	1718
383	1068	1713
384	1070	1710
385	1072	1705
386	1073	1700
387	1074	1695
388	1088	1710
389	1090	1705
390	1091	1700
391	1099	1705
392	1101	1701
393	1103	1696
394	1104	1691
395	1105	1686
396	1107	1681
397	1108	1677
398	1134	1708
399	1135	1703
400	1137	1699
401	1138	1693
402	1146	1698
403	1148	1693
404	1149	1689
405	1153	1687
406	1154	1682
407	1158	1680
408	1159	1675
409	1161	1671
410	1162	1666
411	1164	1661
412	1166	1657
413	1168	1653
414	1169	1649
415	1172	1646
416	1181	1651
417	1182	1646
418	1183	1641
419	1185	1636
420	1186	1631
421	1187	1626
422	1188	1621
423	1191	1618
424	1192	1613
425	1193	1608
426	1194	1603
427	1196	1599
428	1198	1594
429	1200	1590
430	1203	1588
431	1205	1584
432	1206	1580
433	1208	1575
434	1209	1571
435	1211	1567
436	1213	1563
437	1214	1558
438	1216	1554
439	1217	1549
440	1218	1544
441	1220	1540
442	1221	1535
443	1224	1533
444	1226	1529
445	1228	1525
446	1229	1521
447	1231	1516
448	1234	1514
449	1235	1510
450	1237	1505
451	1238	1501
452	1256	1516
453	1258	1513
454	1259	1508
455	1272	1518
456	1274	1514
457	1275	1509
458	1277	1505
459	1279	1501
460	1286	1504
461	1288	1500
462	1289	1496
463	1291	1491
464	1292	1487
465	1294	1483
466	1299	1483
467	1301	1479
